"birth_number";"status"
450204;1
395423;-1
445613;1
455703;1
391130;1
400827;1
650731;1
471008;-1
655803;-1
665309;1
421210;1
701218;1
510806;-1
570217;-1
556119;1
610930;1
600628;1
775510;1
545316;1
350129;1
585915;1
586230;1
440506;1
455612;1
505313;1
636231;-1
686220;1
715625;-1
425419;1
466017;1
570429;1
755912;-1
695313;-1
575122;1
505926;1
405724;1
510906;1
535720;1
475722;-1
680722;1
425913;1
405420;1
505102;1
575823;1
550521;1
635125;1
765609;-1
406204;1
766012;1
805831;1
430104;1
655716;1
666210;-1
515324;1
706007;1
450222;1
580812;-1
646030;1
710225;1
790214;1
805709;1
490523;1
666006;1
565425;1
400907;1
550220;1
581007;1
505318;1
735307;1
716112;1
626228;1
506020;1
670210;1
476017;1
491215;1
390902;1
395315;1
645414;1
596025;1
805917;-1
720206;1
655604;1
455807;-1
775812;1
360907;1
720313;-1
390320;-1
546209;1
525726;1
515625;1
710724;1
780131;1
540309;1
680222;-1
640329;1
575628;1
635204;1
760916;1
495624;1
406101;1
390109;1
680506;-1
595810;1
675719;1
490724;1
680328;1
515407;1
675529;1
610502;1
640314;1
715920;1
350721;-1
726227;1
750924;1
640313;1
735515;1
470319;1
800806;1
596122;1
480508;1
680909;1
520717;1
640422;1
351003;1
705910;1
510410;1
790531;1
731121;1
660527;1
390815;-1
631012;1
805430;1
536225;-1
406015;1
485305;1
360809;-1
495308;1
575127;1
721203;1
760706;1
700428;1
500107;1
630201;1
740804;1
485812;-1
786121;-1
530618;1
421015;1
431126;1
620523;1
790326;1
485803;1
806207;1
636224;1
710624;-1
595227;-1
705129;1
680129;1
670630;1
570929;1
640513;-1
620911;1
575906;1
705210;1
406202;-1
380916;1
490518;-1
371104;-1
581126;1
605209;1
620710;1
495407;1
530405;1
620407;1
460401;1
665614;1
585613;-1
785923;1
585224;1
765106;1
465119;-1
666024;1
760808;-1
505727;1
710210;1
630312;-1
765508;1
791206;1
605521;1
685106;1
576231;1
485502;1
395413;1
435107;1
550814;1
450204;1
395423;-1
396225;1
565507;1
555826;1
586026;1
721210;1
750626;1
490308;1
500410;1
706109;1
685128;1
490216;1
580527;1
450126;1
450924;1
480504;1
705219;-1
516116;1
776130;1
526110;1
541205;1
505302;1
450803;1
670710;1
720623;1
411015;1
685414;1
456003;-1
580707;1
686030;1
651029;1
696225;1
765206;1
760524;1
805216;1
405511;1
705125;1
790619;1
625903;1
615914;1
655217;1
435815;1
645809;1
485828;1
556020;1
455126;1
525216;1
455223;1
351215;1
490107;1
426109;-1
710803;1
380503;1
720804;1
440615;1
575504;1
556104;1
590129;1
575201;-1
520726;1
715410;1
655122;1
531205;1
575305;1
360602;1
471021;-1
610928;1
805502;1
740708;1
595717;1
445420;1
406204;1
720403;1
655723;1
610803;1
661103;1
706007;1
441212;1
700402;1
370902;1
636120;1
415913;1
711009;1
760623;-1
430530;1
725812;1
390227;1
685907;1
801123;1
610819;1
716112;1
745405;1
641030;1
705117;1
730530;1
650307;1
591217;-1
581207;-1
530601;1
790316;1
600820;1
641014;1
390727;1
530505;1
461015;1
765521;-1
701012;1
560218;1
761125;1
561128;1
370517;1
590701;1
775527;1
420918;1
540320;1
705505;1
556118;1
530601;1
695525;1
780907;1
760318;-1
740707;1
770803;1
410728;1
635512;1
590523;1
630516;1
806113;1
730216;1
456030;1
680413;1
626019;1
